Name,Type,Ingredients,Price
ERBORIAN,Sun Care,"-Ethylhexyl Methoxycinnamate/Octinoxate, Ethylhexyl Salicylate/Octisalate, Titanium Dioxide, and Zinc Oxide: Protect against harmful UVA/UVB rays.

Water, Cyclomethicone, Dipropylene Glycol, Glycerin, Peg-10 Dimethicone, Methyl Trimethicone, C12-15 Alkyl ",$44.00 
KIEHL'S SINCE 1851,Sun Care,"-Squalane: Helps restore skin’s natural moisture balance to keep it extra soft and supple.
-Octinoxate: Helps prevent skin from burning in the sun.

Avobenzone 3%, Homosalate 7%, Octisalate 5%, and Octocrylene 5%: Provide sun protection.

Water, Propyle",$32.00 
SMASHBOX,Sun Care,"-Octinoxate 7.50%, Octisalate 4.00%, Oxybenzone 2.50%, Titanium Dioxide 1.10%: Sun protection.

Water, Dimethicone, Butylene Glycol, Phenyl Trimethicone, Pentylene Glycol, Glyceryl Stearate, Behenyl Alcohol, Trioctyldodecyl Citrate, Polymethylsilsesquioxa",$42.00 
TARTE,Sun Care,"-Titanium Dioxide 8.6%, Zinc Oxide 10.0%: Physical sunscreen.
-Vanilla: A natural fragrance with antioxidant and anti-aging properties.

Polymethylsilsesquioxane, Silica, Jojoba Esters, Caprylyl Glycol, Alumina, Sodium Dehydroacetate, Phenoxyethanol, Vani",$28.00 
IT COSMETICS,Sun Care,"-Collagen: Enhances visible elasticity for a youthful, smooth appearance.
-Peptides: Help reduce the appearance of wrinkles and support natural collagen for smoother, firmer-looking skin.
-Niacin (B Vitamin): Supports skin barrier function and visible ela",$35.00 
SUPERGOOP!,Sun Care,"-100 Percent Mineral Zinc Oxide Formula: Delivers broad-spectrum UV protection.
-Ceramides and Olive Glycerides: Help seal in moisture.
-Coated Silica: Diffuses light and diminishes the appearance of pores, creating a soft focus finish.
-Zinc Oxide 24.5%
",$30.00 
CLINIQUE,Sun Care,"-Mica and Titanium Dioxide: Light-diffusing particles that immediately brighten skin.
-Silica: Absorbs oil and leaves a natural matte finish.

Octinoxate 7.5% , Octisalate 2.0% , Titanium Dioxide 1.6%Water , Methyl Trimethicone , Alcohol , Ethylhexyl Palm",$39.50 
JOSIE MARAN,Sun Care,"-Zinc Oxide 9.4%** and Titanium Dioxide 5.9%*: Provide sunscreen protection.
-100 Percent Pure Argan Oil: Hydrates and moisturizes skin with antioxidants and vitamin E.
-SunBoost ATB™: Supports sun protection while conditioning and nourishing the skin.
",$34.00 
DERMALOGICA,Sun Care,"Water, Ethylhexyl Methoxycinnamate, Butylene Glycol, Carthamus Tinctorius Oleosomes, C12-15 Alkyl Benzoate, Cyclopentasiloxane, Glycerin, Butyl Methoxydibenzoylmethane, Dimethicone, Dimethyl Capramide, Palmitoyl Tripeptide-5, Aniba Rosaeodora Wood Oil, Rose Flower Oil, Pelargonium Graveolens Flower Oil, Helianthus Annuus Seed Oil, Eugenia Caryophyllus Leaf/Flower Oil, Citrus Medica Limonum Peel Oil, Saccharomyces Cerevisiae Extract, Citrus Medica Limonum Peel Extract, Camellia Sinensis Leaf Extract, Algae Extract, Dipotassium Glycyrrhizate, Lecithin, Glucosamine HCL, Arginine/Lysine Polypeptide, Tocopheryl Acetate, Squalane, Sodium Hyaluronate, Polysilicone-11, Glycine Soja Protein, 1,2-Hexanediol, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Stearic Acid, Ceteareth-20, Sodium Polyacrylate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Sodium Acrylates Copolymer, Decyl Glucoside, Polysorbate 80, Urea, Galactoarabinan, Glyceryl Polyacrylate, Polysorbate 60, Aminomethyl Propanol, Disodium EDTA, Phenoxyethanol, Ethylhexylglycerin, Linalool, Eugenol, Limonene, Geraniol, Citronellol, CI 77891",$75.00 
FARMACY,Sun Care,"-Zinc Oxide 5.82% and Titanium Dioxide 2.4%: Sunscreens.
-Black Chokeberry Extract: Provides powerful antioxidant benefits.
-Marigold Extract: Helps protect against environmental pollutants.

Water (Aqua), Ethyl Macadamiate, Cyclopentasiloxane, Ethylhexyl",$36.00 
MURAD,Sun Care,"-Avobenzone 3%
-Homosalate 6.5%
-Octinoxate 7.5%
-Octisalate 5%
-Oxybenzone 2%

Water, Butylene Glycol, Stearic Acid, Diisopropyl Sebacate, Cocoglycerides, Lauryl Lactate, Glyceryl Stearate, PEG-100 Stearate, Isodecyl Neopentanoate, Dimethicone, Cetyl Alc",$65.00 
