Name,Type,Ingredients,Price
DR. JART+,Sun Care,"Water, Cyclopentasiloxane, Cyclohexasiloxane, Titanium Dioxide, Zinc Oxide, Glycerin, Talc, PEG-10 Dimethicone, Iron Oxides, C12-15 Alkyl Benzoate, Niacinamide, Diphenylsiloxy Phenyl Trimethicone, Dipropylene Glycol, Hexyl Laurate, Disteardimonium Hectorite, Magnesium Sulfate, Dimethicone/Vinyl Dimethicone Crosspolymer, Dimethicone, Triethoxycaprylylsilane, Phenoxyethanol, Methicone, Polyglyceryl-6 Polyricinoleate, Ethylhexylglycerin, Trihydroxystearin, Citrus Aurantium Dulcis (Orange), Peel Oil, Adenosine, Pinus Sylvestris Leaf Oil, Citrus Aurantifolia (Lime) Oil, BHT, Eucalyptus Globulus Leaf Oil, Citrus Limon (Lemon) Peel Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Allantoin, Glyceryl Polymethacrylate, Propylene Glycol, Platinum Powder, Palmitoyl Tripeptide-12, Polysorbate 80.",$39.00 
CLARINS,Sun Care,"Dimethicone, Water, Alcohol, Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Aluminum Hydroxide, Stearic Acid, Peg/Ppg-18/18 Dimethicone, Nylon-12, Peg-12 Dimethicone, Sodium Chloride, Phenoxyethanol, Fragrance, Glycerin, Ethylhexylglycerin, Tocopheryl Acetate, Disodium Edta, Sanicula Europaea Extract, Butylene Glycol, Sodium Lauroyl Glutamate, Lysine, Magnesium Chloride, Sodium Hyaluronate, Hydroxypropyltrimonium Maltodextrin Crosspolymer, Thermus Thermophillus Ferment, Lapsana Communis Flower/Leaf/Stem Extract, Ribes Nigrum (Black Currant) Bud Extract, Potassium Sorbate, Citric Acid, Camellia Sinensis Leaf Extract, Cucumis Melo (Melon) Fruit Extract, Sodium Lauryl Sulfate, +/- May Contain: Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), [S2703A].",$45.00 
MURAD,Sun Care,"-Titanium Dioxide 2.7%
-Zinc Oxide 10%

Water, Cyclopentasiloxane, Dimethicone, Glycerin, C12-15 Alkyl Benzoate, Argania Spinosa Kernel Oil, Tocopheryl Acetate, Polyurethane-35, Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Polymethylsilsesquioxane,",$68.00 
PETER THOMAS ROTH,Sun Care,"-Broad-Spectrum SPF 45: Reef-safe sunscreen free of oxybenzone and octinoxate that provides UVA/UVB sun protection.
-30 Percent Hyaluronic Acid Complex: Helps improve hydration and can attract and retain up to 1,000 times its weight in water from moisture",$52.00 
SHISEIDO,Sun Care,"-ReNeura Technology+™: Helps improve skin receptivity to awaken and maintain the effectiveness of your treatment over time.
-KOMBU-Bounce Complex: Helps address the causes of wrinkle formation and serves as a natural wrinkle inner-filler.
-Avobenzone 2%",$70.00 
DRUNK ELEPHANT,Sun Care,"-Zinc Oxide 20%: Provides powerful UV protection from harmful rays; ideal for all skin types including sensitive.
-Astaxanthin-rich Algae Extract: A potent antioxidant that provides defense from oxidative damage.
-Sunflower Sprout Extract: Helps neutraliz",$34.00 
SUPERGOOP!,Sun Care,"-Meadowfoam Seed Oil: Rich in fatty acids and tocopherols that help fight off oxidation and water loss. Leaves the skin nourished and supple without a greasy feel.
-Marigold Extract: Soothes skin, rich in antioxidants and carotenoids to help protect again",$38.00 
KIEHL'S SINCE 1851,Sun Care,"-Vitamin E: Minimizes the look of pores.
-Sunscreen Actives (Avobenzone 3%, Homosalate 10.7%, Octisalate 6%, and Oxybenzone 3.9%): Helps protect skin from UV rays.

Water, Cyclopentasiloxane, Alcohol Denat., Silica, Dicaprylyl Ether, Styrene/Acrylates Cop",$61.00 
CLARINS,Sun Care,"-Exclusive Organic Alpine Sanicle Extract: Helps strengthen skin's resistance to free radicals.
-Cantaloupe Melon Extract: Helps protect skin cells from oxidative stress caused by UVA/UVB rays and pollution.
-Organic Blackcurrant extract helps prevent the",$43.00 
SUPERGOOP!,Sun Care,"PLAY Everyday Lotion SPF 50:
Avobenzone 3%, Homosalate 10%, Octisalate 5%, Octocrylene 7.5%, Water, Acrylates Copolymer, Diisopropyl Sebacate, Glycerin, Isodecyl Neopentanoate, Isododecane, Lauryl Lactate, Cetyl Alcohol, Potassium Cetyl Phosphate, Brassica Campestris/Aleurites Fordi Oil Copolymer, Oryza Sativa (Rice) Bran Extract, Cetearyl Olivate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Hydroxyacetophenone, Sorbitan Olivate, Diethylhexyl Syringylidenemalonate, Aniba Rosaeodora (Rosewood) Wood Oil, Chlorphenesin, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Limon (Lemon) Peel Oil, Ethylhexylglycerin, Eucalyptus Globulus Leaf Oil, Ocimum Basilicum (Basil) Flower/Leaf Extract, Pelargonium Graveolens Flower Oil, Pogostemon Cablin Oil, Pentylene Glycol, 1,2-Hexanediol, Caprylyl Glycol, Xanthan Gum, Helianthus Annuus (Sunflower) Extract, Behenic Acid, Cetyl Behenate, Isostearyl Isostearate, Trisodium Ethylenediamine Disuccinate, Tocopherol, Allantoin, Rosmarinus Officinalis (Rosemary) Leaf Extract, Caprylic/Capric Triglyceride, Dexpanthenol, Pentasodium Triphosphate, Citric Acid.

Unseen Sunscreen SPF 40:
Avobenzone 3%, Homosalate 8%, Octisalate 5%, Octocrylene 4%, Isododecane, Dimethicone Crosspolymer, Dimethicone/Bis-Isobutyl PPG-20 Crosspolymer, Polymethylsilsesquioxane, Isohexadecane, Dicaprylyl Carbonate, Meadowfoam Estolide, Caprylic/Capric Triglyceride, Polyester-7, Neopentyl Glycol Diheptanoate, Lithothamnion Calcareum Extract, Caprylyl Glycol, Butyrospermum Parkii (Shea) Butter, Jojoba Esters, Mannitol, Boswellia Serrata Resin Extract, Lecithin, Microcrystalline Cellulose, Diatomaceous Earth, Zinc Sulfate, Silica, Tocopherol.

Defense Refresh (Re)setting Mist SPF 40:
Avobenzone 2.8%, Homosalate 9.8%, Octisalate 4.9%, Octocrylene 9.5%, Alcohol Denat., Bisabolol, Brassica Campestris/Aleurites Fordi Oil Copolymer, Butyloctyl Salicylate, Caprylic/Capric Triglyceride, Capryloyl Glycerin/Sebacic Acid Copolymer, Dicaprylyl Carbonate, Diethylhexyl Syringylidenemalonate, Diheptyl Succinate, Diisooctyl Succinate, Ethyl Ferulate, Isododecane, Lauroyl Lysine, Mentha Piperita (Peppermint) Leaf Oil, Mentha Viridis (Spearmint) Leaf Oil, Nylon-12, PVP, Rosmarinus Officinalis (Rosemary) Leaf Oil, Silica Silylate.

Clean at Sephora products are formulated without:
Sulfates—SLS + SLES, Parabens, Formaldehydes, Formaldehyde-releasing agents, Phthalates, Mineral Oil, Retinyl Palmitate, Oxybenzone, Coal Tar, Hydroquinone, Triclosan, Triclocarban, Undisclosed synthetic fragrances (Products can be formulated with disclosed synthetic fragrances that meet the following two criteria: (1) the synthetic fragrances do not include any of the ingredients listed in numbers 1 through 12 above and (2) the synthetic fragrances are at a concentration below 1% of the total formula) The following type of acrylates: (ethyl acrylate, ethyl methacrylate, methyl methacrylate, butyl methacrylate, hydroxypropyl methacrylate, tetrahydrofurfuryl methacrylate, trimethylolpropane trimethacrylate , aluminum salts), Animal Oils/Musks/Fats, Benzophenone + Related Compounds, Butoxyethanol, Carbon Black, Lead/Lead Acetate, Methyl Cellosolve + Methoxyethanol, Methylchloroisothiazolinone & Methylisothiazolinone, Mercury + Mercury Compounds (Thimerisol), Insoluble Plastic Microbeads (This prohibited ingredient applies to products that are meant to be rinsed off ), Resorcinol, Talc (Talc that is free of any asbestos can be used in the formulation provided that Brand conducts testing to ensure that talc is free of any asbestos.), Toluene, Butylated hydroxyanisole (BHA), Butylated hydroxytoluene (BHT) that is 0.1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles as defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer , styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin).",$28.00 
